code_ecole,nom_ecole,region,semaine,date_saisie,jours_classe,eleves_inscrits,eleves_presents,eleves_presents_parraines,repas_servis,enseignants_prevus,enseignants_presents
EC001,Ecole Ganthier I,Ouest,1,2026-01-03,5,141,98,45,0,4,3
EC001,Ecole Ganthier I,Ouest,2,2026-01-10,5,141,116,49,0,4,4
EC001,Ecole Ganthier I,Ouest,3,2026-01-17,5,141,103,42,0,4,4
EC001,Ecole Ganthier I,Ouest,4,2026-01-24,5,141,105,38,0,4,4
EC001,Ecole Ganthier I,Ouest,5,2026-02-03,5,141,110,46,0,4,2
EC001,Ecole Ganthier I,Ouest,6,2026-02-10,5,141,106,54,0,4,2
EC001,Ecole Ganthier I,Ouest,7,2026-02-17,5,141,99,57,0,4,3
EC001,Ecole Ganthier I,Ouest,8,2026-02-24,5,141,104,39,0,4,3
EC001,Ecole Ganthier I,Ouest,9,2026-03-03,5,141,90,32,0,4,2
EC001,Ecole Ganthier I,Ouest,10,2026-03-10,5,141,113,42,0,4,3
EC001,Ecole Ganthier I,Ouest,11,2026-03-17,5,141,105,42,0,4,3
EC001,Ecole Ganthier I,Ouest,12,2026-03-24,5,141,100,47,0,4,4
EC002,Ecole Ganthier II,Ouest,1,2026-01-03,5,304,251,148,1227,5,5
EC002,Ecole Ganthier II,Ouest,2,2026-01-10,0,304,241,154,0,5,5
EC002,Ecole Ganthier II,Ouest,3,2026-01-17,5,304,233,109,1000,5,4
EC002,Ecole Ganthier II,Ouest,4,2026-01-24,4,304,247,106,955,5,4
EC002,Ecole Ganthier II,Ouest,5,2026-02-03,5,304,236,138,1120,5,4
EC002,Ecole Ganthier II,Ouest,6,2026-02-10,5,304,218,95,1084,5,4
EC002,Ecole Ganthier II,Ouest,7,2026-02-17,5,304,260,94,1197,5,4
EC002,Ecole Ganthier II,Ouest,8,2026-02-24,5,304,252,160,1086,5,5
EC002,Ecole Ganthier II,Ouest,9,2026-03-03,5,304,270,127,1338,5,4
EC002,Ecole Ganthier II,Ouest,10,2026-03-10,5,304,252,133,1188,5,4
EC002,Ecole Ganthier II,Ouest,11,2026-03-17,5,304,222,95,1055,5,5
EC002,Ecole Ganthier II,Ouest,12,2026-03-24,5,304,230,107,1093,5,5
EC003,Ecole Croix-des-Bouquets,Ouest,1,2026-01-03,5,225,179,63,844,4,3
EC003,Ecole Croix-des-Bouquets,Ouest,2,2026-01-10,5,225,137,50,604,4,4
EC003,Ecole Croix-des-Bouquets,Ouest,3,2026-01-17,5,225,147,62,656,4,3
EC003,Ecole Croix-des-Bouquets,Ouest,4,2026-01-24,5,225,154,86,725,4,2
EC003,Ecole Croix-des-Bouquets,Ouest,5,2026-02-03,5,225,142,89,614,4,4
EC003,Ecole Croix-des-Bouquets,Ouest,6,2026-02-10,5,225,135,83,648,4,4
EC003,Ecole Croix-des-Bouquets,Ouest,7,2026-02-17,5,225,133,54,628,4,4
EC003,Ecole Croix-des-Bouquets,Ouest,8,2026-02-24,5,225,137,58,675,4,4
EC003,Ecole Croix-des-Bouquets,Ouest,9,2026-03-03,5,225,134,47,646,4,2
EC003,Ecole Croix-des-Bouquets,Ouest,10,2026-03-10,5,225,149,59,682,4,2
EC003,Ecole Croix-des-Bouquets,Ouest,11,2026-03-17,5,225,149,91,734,4,3
EC003,Ecole Croix-des-Bouquets,Ouest,12,2026-03-24,3,225,144,75,376,4,4
EC004,Ecole Thomazeau,Ouest,1,2026-01-03,3,100,86,52,254,6,6
EC004,Ecole Thomazeau,Ouest,2,2026-01-10,5,100,71,39,320,6,5
EC004,Ecole Thomazeau,Ouest,3,2026-01-17,5,100,71,28,351,6,6
EC004,Ecole Thomazeau,Ouest,4,2026-01-24,5,100,82,48,402,6,6
EC004,Ecole Thomazeau,Ouest,5,2026-02-03,5,100,87,41,413,6,4
EC004,Ecole Thomazeau,Ouest,6,2026-02-10,5,100,73,31,353,6,6
EC004,Ecole Thomazeau,Ouest,7,2026-02-17,5,100,84,34,414,6,6
EC004,Ecole Thomazeau,Ouest,8,2026-02-24,5,100,79,46,349,6,6
EC004,Ecole Thomazeau,Ouest,9,2026-03-03,5,100,71,26,342,6,6
EC004,Ecole Thomazeau,Ouest,10,2026-03-10,5,100,77,36,383,6,5
EC004,Ecole Thomazeau,Ouest,11,2026-03-17,5,100,87,37,407,6,6
EC004,Ecole Thomazeau,Ouest,12,2026-03-24,4,100,77,34,298,6,5
EC005,Ecole Cornillon,Ouest,1,2026-01-03,5,101,81,42,359,6,4
EC005,Ecole Cornillon,Ouest,2,2026-01-10,5,101,87,44,422,6,4
EC005,Ecole Cornillon,Ouest,3,2026-01-17,5,101,87,39,374,6,4
EC005,Ecole Cornillon,Ouest,4,2026-01-24,5,101,78,41,370,6,6
EC005,Ecole Cornillon,Ouest,5,2026-02-03,5,101,86,40,391,6,6
EC005,Ecole Cornillon,Ouest,6,2026-02-10,5,101,92,37,436,6,5
EC005,Ecole Cornillon,Ouest,7,2026-02-17,5,101,94,41,438,6,6
EC005,Ecole Cornillon,Ouest,8,2026-02-24,5,101,83,34,401,6,5
EC005,Ecole Cornillon,Ouest,9,2026-03-03,5,101,78,32,359,6,4
EC005,Ecole Cornillon,Ouest,10,2026-03-10,5,101,86,32,398,6,4
EC005,Ecole Cornillon,Ouest,11,2026-03-17,5,101,97,40,434,6,6
EC005,Ecole Cornillon,Ouest,12,2026-03-24,5,101,93,33,463,6,5
EC006,Ecole Fonds-Verrettes,Ouest,1,2026-01-03,5,267,201,108,883,6,4
EC006,Ecole Fonds-Verrettes,Ouest,2,2026-01-10,5,267,194,91,845,6,4
EC006,Ecole Fonds-Verrettes,Ouest,3,2026-01-17,0,267,188,111,0,6,5
EC006,Ecole Fonds-Verrettes,Ouest,4,2026-01-24,2,267,175,109,303,6,6
EC006,Ecole Fonds-Verrettes,Ouest,5,2026-02-03,5,267,163,86,808,6,5
EC006,Ecole Fonds-Verrettes,Ouest,6,2026-02-10,5,267,145,82,671,6,5
EC006,Ecole Fonds-Verrettes,Ouest,7,2026-02-17,5,267,204,98,982,6,4
EC006,Ecole Fonds-Verrettes,Ouest,8,2026-02-24,5,267,213,124,982,6,6
EC006,Ecole Fonds-Verrettes,Ouest,9,2026-03-03,5,267,190,81,853,6,5
EC006,Ecole Fonds-Verrettes,Ouest,10,2026-03-10,5,267,185,73,839,6,6
EC006,Ecole Fonds-Verrettes,Ouest,11,2026-03-17,5,267,193,98,880,6,6
EC006,Ecole Fonds-Verrettes,Ouest,12,2026-03-24,5,267,185,86,893,6,4
EC007,Ecole Kenscoff,Ouest,1,2026-01-03,4,204,152,66,552,5,4
EC007,Ecole Kenscoff,Ouest,2,2026-01-10,5,204,185,105,897,5,5
EC007,Ecole Kenscoff,Ouest,3,2026-01-17,5,204,179,83,850,5,4
EC007,Ecole Kenscoff,Ouest,4,2026-01-24,5,204,195,117,963,5,4
EC007,Ecole Kenscoff,Ouest,5,2026-02-03,5,204,195,107,841,5,4
EC007,Ecole Kenscoff,Ouest,6,2026-02-10,5,204,172,84,737,5,4
EC007,Ecole Kenscoff,Ouest,7,2026-02-17,5,204,170,104,757,5,4
EC007,Ecole Kenscoff,Ouest,8,2026-02-24,5,204,184,68,784,5,4
EC007,Ecole Kenscoff,Ouest,9,2026-03-03,3,204,176,112,451,5,5
EC007,Ecole Kenscoff,Ouest,10,2026-03-10,5,204,179,73,763,5,5
EC007,Ecole Kenscoff,Ouest,11,2026-03-17,5,204,169,107,777,5,5
EC007,Ecole Kenscoff,Ouest,12,2026-03-24,5,204,176,70,828,5,3
EC008,Ecole Gressier,Ouest,1,2026-01-03,5,288,174,77,815,6,6
EC008,Ecole Gressier,Ouest,2,2026-01-10,5,288,162,100,734,6,4
EC008,Ecole Gressier,Ouest,3,2026-01-17,5,288,145,61,692,6,6
EC008,Ecole Gressier,Ouest,4,2026-01-24,5,288,154,81,668,6,5
EC008,Ecole Gressier,Ouest,5,2026-02-03,5,288,162,74,749,6,6
EC008,Ecole Gressier,Ouest,6,2026-02-10,4,288,187,111,647,6,6
EC008,Ecole Gressier,Ouest,7,2026-02-17,5,288,185,88,888,6,4
EC008,Ecole Gressier,Ouest,8,2026-02-24,5,288,148,87,688,6,5
EC008,Ecole Gressier,Ouest,9,2026-03-03,5,288,174,77,771,6,6
EC008,Ecole Gressier,Ouest,10,2026-03-10,5,288,143,69,688,6,5
EC008,Ecole Gressier,Ouest,11,2026-03-17,5,288,161,97,706,6,6
EC008,Ecole Gressier,Ouest,12,2026-03-24,5,288,167,71,744,6,5
EC009,Ecole Puits-Sale,Sud,1,2026-01-03,5,97,73,46,0,9,9
EC009,Ecole Puits-Sale,Sud,2,2026-01-10,5,97,74,34,0,9,8
EC009,Ecole Puits-Sale,Sud,3,2026-01-17,5,97,70,34,0,9,9
EC009,Ecole Puits-Sale,Sud,4,2026-01-24,5,97,65,27,0,9,7
EC009,Ecole Puits-Sale,Sud,5,2026-02-03,5,97,70,36,0,9,9
EC009,Ecole Puits-Sale,Sud,6,2026-02-10,5,97,68,39,0,9,9
EC009,Ecole Puits-Sale,Sud,7,2026-02-17,5,97,68,28,0,9,7
EC009,Ecole Puits-Sale,Sud,8,2026-02-24,5,97,75,28,0,9,8
EC009,Ecole Puits-Sale,Sud,9,2026-03-03,5,97,69,39,0,9,9
EC009,Ecole Puits-Sale,Sud,10,2026-03-10,5,97,67,43,0,9,8
EC009,Ecole Puits-Sale,Sud,11,2026-03-17,5,97,81,35,0,9,9
EC009,Ecole Puits-Sale,Sud,12,2026-03-24,5,97,69,24,0,9,8
EC010,Ecole Maniche,Sud,1,2026-01-03,5,274,257,112,1274,7,5
EC010,Ecole Maniche,Sud,2,2026-01-10,5,274,253,125,1240,7,6
EC010,Ecole Maniche,Sud,3,2026-01-17,5,274,237,151,1052,7,6
EC010,Ecole Maniche,Sud,4,2026-01-24,5,274,254,93,1173,7,6
EC010,Ecole Maniche,Sud,5,2026-02-03,5,274,260,134,1164,7,7
EC010,Ecole Maniche,Sud,6,2026-02-10,5,274,255,147,1199,7,6
EC010,Ecole Maniche,Sud,7,2026-02-17,5,274,234,112,1145,7,6
EC010,Ecole Maniche,Sud,8,2026-02-24,5,274,249,133,1172,7,5
EC010,Ecole Maniche,Sud,9,2026-03-03,5,274,245,105,1056,7,7
EC010,Ecole Maniche,Sud,10,2026-03-10,5,274,220,81,935,7,6
EC010,Ecole Maniche,Sud,11,2026-03-17,5,274,239,104,1066,7,6
EC010,Ecole Maniche,Sud,12,2026-03-24,5,274,244,102,1085,7,5
EC011,Ecole Marceline,Sud,1,2026-01-03,5,216,156,59,689,4,4
EC011,Ecole Marceline,Sud,2,2026-01-10,5,216,145,86,624,4,4
EC011,Ecole Marceline,Sud,3,2026-01-17,5,216,133,83,609,4,3
EC011,Ecole Marceline,Sud,4,2026-01-24,5,216,139,77,689,4,3
EC011,Ecole Marceline,Sud,5,2026-02-03,5,216,137,84,657,4,3
EC011,Ecole Marceline,Sud,6,2026-02-10,5,216,160,60,795,4,3
EC011,Ecole Marceline,Sud,7,2026-02-17,5,216,175,104,819,4,4
EC011,Ecole Marceline,Sud,8,2026-02-24,5,216,156,85,770,4,4
EC011,Ecole Marceline,Sud,9,2026-03-03,5,216,125,80,575,4,3
EC011,Ecole Marceline,Sud,10,2026-03-10,5,216,156,85,763,4,4
EC011,Ecole Marceline,Sud,11,2026-03-17,5,216,127,59,612,4,4
EC011,Ecole Marceline,Sud,12,2026-03-24,5,216,147,65,660,4,3
EC012,Ecole Camp-Perrin,Sud,1,2026-01-03,5,276,254,155,1167,7,7
EC012,Ecole Camp-Perrin,Sud,2,2026-01-10,5,276,253,116,1218,7,5
EC012,Ecole Camp-Perrin,Sud,3,2026-01-17,5,276,266,103,1187,7,5
EC012,Ecole Camp-Perrin,Sud,4,2026-01-24,5,276,258,92,1218,7,7
EC012,Ecole Camp-Perrin,Sud,5,2026-02-03,5,276,252,119,1113,7,7
EC012,Ecole Camp-Perrin,Sud,6,2026-02-10,5,276,256,98,1247,7,6
EC012,Ecole Camp-Perrin,Sud,7,2026-02-17,5,276,247,117,1139,7,6
EC012,Ecole Camp-Perrin,Sud,8,2026-02-24,5,276,273,140,1238,7,6
EC012,Ecole Camp-Perrin,Sud,9,2026-03-03,5,276,269,116,1302,7,6
EC012,Ecole Camp-Perrin,Sud,10,2026-03-10,5,276,222,130,987,7,7
EC012,Ecole Camp-Perrin,Sud,11,2026-03-17,5,276,239,155,1103,7,7
EC012,Ecole Camp-Perrin,Sud,12,2026-03-24,5,276,266,131,1196,7,6
EC013,Ecole Chantal,Sud,1,2026-01-03,5,112,86,55,380,12,11
EC013,Ecole Chantal,Sud,2,2026-01-10,5,112,68,39,291,12,10
EC013,Ecole Chantal,Sud,3,2026-01-17,5,112,79,51,382,12,10
EC013,Ecole Chantal,Sud,4,2026-01-24,5,112,70,34,299,12,11
EC013,Ecole Chantal,Sud,5,2026-02-03,5,112,72,43,311,12,11
EC013,Ecole Chantal,Sud,6,2026-02-10,2,112,76,35,144,12,12
