vacancy_id,client_id,role_title,role_family,priority,opened_date,status,filled_date,target_monthly_rate_usd
V00001,C0001,Automation Specialist,Technical,Standard,2025-06-07,cancelled,,2100
V00002,C0001,Bookkeeper,Bookkeeping,High,2025-05-25,cancelled,,1800
V00003,C0002,Data Analyst,Technical,Standard,2025-08-04,filled,2025-09-01,2100
V00004,C0003,Automation Specialist,Technical,Standard,2025-03-19,cancelled,,1500
V00005,C0004,Web Developer,Technical,High,2025-04-21,filled,2025-05-08,2100
V00006,C0004,Cold Caller,Sales VA,Standard,2025-02-22,on_hold,,1800
V00007,C0005,Social Media Manager,Marketing VA,Standard,2025-02-08,filled,2025-02-17,1200
V00008,C0005,Social Media Manager,Marketing VA,Standard,2025-10-06,filled,2025-10-19,1500
V00009,C0005,Operations Assistant,Executive VA,Standard,2025-05-01,cancelled,,1200
V00010,C0005,Customer Support Agent,Customer Support,High,2025-08-02,filled,2025-08-21,1200
V00011,C0006,Sales Development Rep,Sales VA,Standard,2025-09-03,on_hold,,1000
V00012,C0006,Social Media Manager,Marketing VA,Urgent,2025-05-11,cancelled,,1200
V00013,C0007,Helpdesk Agent,Customer Support,High,2025-07-23,filled,2025-08-10,1000
V00014,C0007,Appointment Setter,Sales VA,High,2025-08-15,cancelled,,800
V00015,C0007,Email Marketer,Marketing VA,Urgent,2025-10-08,cancelled,,1000
V00016,C0008,Social Media Manager,Marketing VA,Standard,2025-02-20,filled,2025-03-03,800
V00017,C0008,Appointment Setter,Sales VA,Urgent,2026-01-02,cancelled,,1800
V00018,C0008,Web Developer,Technical,Standard,2025-06-23,cancelled,,1000
V00019,C0008,Cold Caller,Sales VA,Standard,2025-07-28,cancelled,,800
V00020,C0008,Appointment Setter,Sales VA,Standard,2025-09-30,filled,2025-10-09,1000
V00021,C0009,Sales Development Rep,Sales VA,Standard,2026-01-17,filled,2026-02-09,1200
V00022,C0009,Social Media Manager,Marketing VA,High,2025-07-21,filled,2025-08-07,1800
V00023,C0010,Sales Development Rep,Sales VA,Standard,2025-08-01,filled,2025-08-20,1000
V00024,C0010,Bookkeeper,Bookkeeping,High,2025-08-29,filled,2025-10-06,1800
V00025,C0010,Content Writer,Marketing VA,Standard,2025-07-11,open,,1000
V00026,C0010,Bookkeeper,Bookkeeping,Standard,2025-07-12,cancelled,,800
V00027,C0011,Helpdesk Agent,Customer Support,High,2026-01-26,filled,2026-02-08,800
V00028,C0012,Appointment Setter,Sales VA,High,2025-12-12,filled,2026-01-12,1800
V00029,C0013,Cold Caller,Sales VA,Standard,2025-05-15,filled,2025-06-01,1200
V00030,C0013,Sales Development Rep,Sales VA,Standard,2026-03-22,cancelled,,1000
V00031,C0013,Social Media Manager,Marketing VA,Standard,2025-06-02,filled,2025-06-20,1800
V00032,C0013,Content Writer,Marketing VA,High,2025-03-03,filled,2025-02-27,1500
V00033,C0013,Email Marketer,Marketing VA,Standard,2025-06-23,cancelled,,800
V00034,C0014,Helpdesk Agent,Customer Support,High,2026-03-30,filled,2026-04-19,1000
V00035,C0014,Automation Specialist,Technical,Standard,2025-09-02,on_hold,,1800
V00036,C0015,Data Analyst,Technical,High,2026-02-17,on_hold,,800
V00037,C0015,Customer Support Agent,Customer Support,Standard,2025-08-31,cancelled,,800
V00038,C0016,Cold Caller,Sales VA,Urgent,2025-10-22,filled,2025-11-19,1000
V00039,C0017,Customer Support Agent,Customer Support,High,2025-12-17,filled,2026-01-13,1800
V00040,C0017,Automation Specialist,Technical,Standard,2025-08-05,filled,2025-08-28,1200
V00041,C0018,Executive Assistant,Executive VA,Standard,2026-05-31,filled,2026-06-30,2100
V00042,C0018,Automation Specialist,Technical,High,2026-02-10,filled,2026-04-04,2100
V00043,C0019,Helpdesk Agent,Customer Support,High,2025-11-17,filled,2025-12-20,1000
