interview_id,submittal_id,scheduled_date,completed,no_show,outcome
I000001,S000001,2025-06-21,1,0,pass
I000002,S000006,2025-07-22,1,0,pass
I000003,S000008,2025-07-22,1,0,pass
I000004,S000009,2025-08-01,1,0,pass
I000005,S000010,2025-08-09,1,0,pass
I000006,S000013,2025-06-13,0,1,no_show
I000007,S000014,2025-06-14,0,1,no_show
I000008,S000016,2025-06-23,1,0,offer
I000009,S000018,2025-08-16,1,0,pass
I000010,S000019,2025-08-29,1,0,offer
I000011,S000024,2025-04-05,1,0,pass
I000012,S000027,2025-04-14,1,0,pass
I000013,S000030,2025-05-02,1,0,pass
I000014,S000031,2025-05-04,1,0,offer
I000015,S000032,2025-05-03,1,0,pass
I000016,S000033,2025-05-07,1,0,pass
I000017,S000034,2025-05-18,1,0,pass
I000018,S000035,2025-05-26,1,0,pass
I000019,S000042,2025-02-12,1,0,offer
I000020,S000043,2025-02-25,1,0,pass
I000021,S000045,2025-02-22,1,0,pass
I000022,S000046,2025-03-08,1,0,pass
I000023,S000047,2025-03-11,1,0,pass
I000024,S000048,2025-03-16,1,0,pass
I000025,S000049,2025-03-12,1,0,pass
I000026,S000050,2025-03-13,1,0,pass
I000027,S000051,2025-10-12,1,0,pass
I000028,S000052,2025-10-21,1,0,offer
I000029,S000053,2025-10-18,1,0,offer
I000030,S000055,2025-10-25,1,0,pass
I000031,S000057,2025-11-04,1,0,pass
I000032,S000058,2025-11-14,1,0,pass
I000033,S000059,2025-05-13,1,0,pass
I000034,S000060,2025-08-07,1,0,pass
I000035,S000062,2025-08-19,1,0,offer
I000036,S000063,2025-08-14,1,0,pass
I000037,S000067,2025-09-21,1,0,pass
I000038,S000068,2025-09-21,1,0,offer
I000039,S000069,2025-10-02,1,0,pass
I000040,S000070,2025-09-24,1,0,offer
I000041,S000072,2025-10-08,1,0,pass
I000042,S000077,2025-05-30,1,0,pass
I000043,S000080,2025-05-29,1,0,pass
I000044,S000082,2025-06-05,1,0,offer
I000045,S000083,2025-06-04,1,0,pass
I000046,S000084,2025-08-04,1,0,offer
I000047,S000086,2025-08-05,1,0,pass
I000048,S000088,2025-08-11,1,0,pass
I000049,S000089,2025-08-28,1,0,pass
I000050,S000090,2025-08-26,1,0,pass
I000051,S000093,2025-10-17,1,0,offer
I000052,S000095,2025-10-21,1,0,pass
I000053,S000096,2025-10-22,1,0,pass
I000054,S000097,2025-02-28,1,0,offer
I000055,S000098,2025-03-04,1,0,pass
I000056,S000100,2026-01-06,1,0,pass
I000057,S000101,2026-01-10,1,0,pass
I000058,S000102,2026-01-17,1,0,pass
I000059,S000103,2026-01-13,0,1,no_show
I000060,S000104,2026-01-16,1,0,pass
I000061,S000107,2025-07-08,0,1,no_show
I000062,S000108,2025-07-12,1,0,pass
I000063,S000109,2025-07-22,1,0,pass
I000064,S000110,2025-08-10,1,0,pass
I000065,S000113,2025-10-08,1,0,offer
I000066,S000115,2025-10-17,1,0,pass
I000067,S000116,2025-10-13,1,0,pass
I000068,S000117,2025-10-26,0,1,no_show
I000069,S000118,2025-10-24,0,1,no_show
I000070,S000119,2025-10-25,1,0,pass
I000071,S000120,2026-01-21,1,0,pass
I000072,S000122,2026-02-02,1,0,pass
I000073,S000124,2026-02-08,1,0,offer
I000074,S000129,2025-08-05,1,0,pass
I000075,S000130,2025-08-04,1,0,offer
I000076,S000132,2025-08-14,1,0,pass
I000077,S000136,2025-09-03,1,0,pass
I000078,S000137,2025-08-30,1,0,pass
I000079,S000139,2025-09-09,1,0,pass
I000080,S000140,2025-09-13,1,0,pass
I000081,S000141,2025-08-08,1,0,pass
I000082,S000143,2025-08-19,1,0,offer
I000083,S000144,2025-08-16,1,0,offer
I000084,S000148,2025-08-30,1,0,pass
I000085,S000149,2025-09-10,1,0,pass
I000086,S000151,2025-09-15,1,0,pass
I000087,S000154,2025-09-24,1,0,pass
I000088,S000155,2025-10-05,1,0,offer
I000089,S000159,2025-07-29,1,0,offer
I000090,S000160,2025-07-29,1,0,pass
I000091,S000162,2025-08-04,1,0,pass
I000092,S000163,2025-08-14,1,0,pass
I000093,S000165,2025-07-16,1,0,pass
I000094,S000166,2025-07-27,1,0,pass
I000095,S000167,2026-02-05,1,0,offer
I000096,S000169,2026-02-07,1,0,pass
I000097,S000170,2026-02-10,0,1,no_show
I000098,S000180,2026-01-01,1,0,offer
I000099,S000181,2026-01-05,1,0,offer
I000100,S000182,2025-05-28,1,0,offer
I000101,S000183,2025-05-27,1,0,pass
I000102,S000186,2025-06-05,1,0,pass
I000103,S000188,2025-06-12,1,0,pass
I000104,S000190,2025-06-15,1,0,pass
I000105,S000192,2025-06-09,1,0,pass
I000106,S000193,2025-06-16,1,0,offer
I000107,S000196,2025-06-30,1,0,pass
I000108,S000199,2025-03-23,1,0,pass
I000109,S000201,2025-03-24,1,0,pass
I000110,S000203,2025-03-31,1,0,offer
I000111,S000205,2025-04-10,1,0,pass
I000112,S000208,2025-07-11,1,0,pass
