spend_date,channel,campaign,spend_usd,impressions,clicks
2025-01-01,Paid Search,gs_va_hire,435.57,3333,140
2025-01-01,Paid Social,li_agency_owners,241.26,9368,178
2025-01-01,Outbound,cold_email_q2,74.63,0,0
2025-01-02,Paid Search,gs_va_hire,339.06,2595,109
2025-01-02,Paid Social,fb_founders,335.73,13052,248
2025-01-02,Outbound,cold_email_q1,82.47,0,0
2025-01-03,Paid Search,gs_latam_talent,373.36,2857,120
2025-01-03,Paid Social,fb_retarget,222.54,8631,164
2025-01-03,Outbound,linkedin_dm,68.51,0,0
2025-01-04,Paid Search,gs_va_hire,77.03,571,24
2025-01-04,Paid Social,fb_retarget,80.42,3105,59
2025-01-04,Outbound,linkedin_dm,23.81,0,0
2025-01-05,Paid Search,gs_competitor,101.08,761,32
2025-01-05,Paid Social,fb_retarget,78.26,3000,57
2025-01-05,Outbound,linkedin_dm,22.57,0,0
2025-01-06,Paid Search,gs_competitor,270.7,2071,87
2025-01-06,Paid Social,fb_retarget,339.21,13210,251
2025-01-06,Outbound,cold_email_q1,87.83,0,0
2025-01-07,Paid Search,,299.57,2285,96
2025-01-07,Paid Social,li_agency_owners,213.71,8315,158
2025-01-07,Outbound,linkedin_dm,68.86,0,0
2025-01-08,Paid Search,gs_va_hire,440.34,3380,142
2025-01-08,Paid Social,fb_retarget,185.01,7210,137
2025-01-08,Outbound,cold_email_q2,69.54,0,0
2025-01-09,Paid Search,gs_latam_talent,329.5,2523,106
2025-01-09,Paid Social,li_agency_owners,250.32,9736,185
2025-01-09,Outbound,linkedin_dm,58.18,0,0
2025-01-10,Paid Search,gs_latam_talent,416.63,3190,134
2025-01-10,Paid Social,fb_retarget,257.36,10000,190
2025-01-10,Outbound,linkedin_dm,87.97,0,0
2025-01-11,Paid Search,gs_competitor,99.74,761,32
2025-01-11,Paid Social,,67.93,2631,50
2025-01-11,Outbound,cold_email_q2,23.52,0,0
2025-01-12,Paid Search,gs_competitor,67.62,499,21
2025-01-12,Paid Social,fb_retarget,63.17,2421,46
2025-01-12,Outbound,linkedin_dm,24.68,0,0
2025-01-13,Paid Search,gs_latam_talent,332.26,2547,107
2025-01-13,Paid Social,fb_retarget,298.92,11631,221
2025-01-13,Outbound,linkedin_dm,65.01,0,0
2025-01-14,Paid Search,gs_va_hire,260.14,1976,83
2025-01-14,Paid Social,fb_founders,271.99,10578,201
2025-01-14,Outbound,cold_email_q1,77.25,0,0
2025-01-15,Paid Search,gs_competitor,412.86,3166,133
2025-01-15,Paid Social,fb_founders,239.73,9315,177
2025-01-15,Outbound,linkedin_dm,84.92,0,0
2025-01-16,Paid Search,gs_competitor,271.71,2071,87
2025-01-16,Paid Social,li_agency_owners,224.39,8736,166
2025-01-16,Outbound,cold_email_q1,96.6,0,0
2025-01-17,Paid Search,gs_competitor,304.05,2333,98
2025-01-17,Paid Social,fb_founders,294.69,11473,218
2025-01-17,Outbound,linkedin_dm,86.31,0,0
2025-01-18,Paid Search,gs_va_hire,72.66,547,23
2025-01-18,Paid Social,fb_retarget,56.85,2210,42
2025-01-18,Outbound,linkedin_dm,16.01,0,0
2025-01-19,Paid Search,,63.54,476,20
2025-01-19,Paid Social,fb_founders,64.24,2473,47
2025-01-19,Outbound,cold_email_q2,25.64,0,0
2025-01-20,Paid Search,gs_latam_talent,376.91,2880,121
2025-01-20,Paid Social,li_agency_owners,266.91,10368,197
2025-01-20,Outbound,,71.65,0,0
2025-01-21,Paid Search,gs_va_hire,300.58,2285,96
2025-01-21,Paid Social,li_agency_owners,231.88,9000,171
2025-01-21,Outbound,cold_email_q2,83.3,0,0
2025-01-22,Paid Search,gs_latam_talent,358.08,2738,115
2025-01-22,Paid Social,fb_founders,325.04,12631,240
2025-01-22,Outbound,cold_email_q1,58.96,0,0
2025-01-23,Paid Search,gs_competitor,435.61,3333,140
2025-01-23,Paid Social,fb_founders,331.0,12894,245
2025-01-23,Outbound,linkedin_dm,72.48,0,0
2025-01-24,Paid Search,gs_latam_talent,452.5,3452,145
2025-01-24,Paid Social,fb_founders,289.98,11263,214
2025-01-24,Outbound,cold_email_q1,64.33,0,0
2025-01-25,Paid Search,gs_latam_talent,112.07,857,36
2025-01-25,Paid Social,fb_founders,76.54,2947,56
2025-01-25,Outbound,linkedin_dm,24.79,0,0
2025-01-26,Paid Search,gs_va_hire,105.51,809,34
2025-01-26,Paid Social,fb_founders,69.81,2684,51
2025-01-26,Outbound,cold_email_q1,21.74,0,0
2025-01-27,Paid Search,gs_latam_talent,417.25,3190,134
2025-01-27,Paid Social,li_agency_owners,338.43,13157,250
2025-01-27,Outbound,cold_email_q2,93.62,0,0
2025-01-28,Paid Search,gs_va_hire,448.12,3428,144
2025-01-28,Paid Social,li_agency_owners,341.06,13263,252
2025-01-28,Outbound,linkedin_dm,84.16,0,0
2025-01-29,Paid Search,gs_competitor,251.22,1928,81
2025-01-29,Paid Social,li_agency_owners,282.11,10947,208
2025-01-29,Outbound,linkedin_dm,92.5,0,0
2025-01-30,Paid Search,gs_latam_talent,385.05,2952,124
2025-01-30,Paid Social,li_agency_owners,237.04,9210,175
2025-01-30,Outbound,cold_email_q2,77.27,0,0
2025-01-31,Paid Search,gs_latam_talent,327.05,2500,105
2025-01-31,Paid Social,li_agency_owners,320.95,12473,237
2025-01-31,Outbound,linkedin_dm,70.43,0,0
2025-02-01,Paid Search,gs_va_hire,122.48,928,39
2025-02-01,Paid Social,fb_founders,56.0,2157,41
2025-02-01,Outbound,cold_email_q2,25.26,0,0
2025-02-02,Paid Search,gs_latam_talent,108.31,809,34
2025-02-02,Paid Social,li_agency_owners,72.51,2789,53
2025-02-02,Outbound,cold_email_q2,27.0,0,0
2025-02-03,Paid Search,gs_competitor,355.35,2714,114
2025-02-03,Paid Social,,259.1,10052,191
2025-02-03,Outbound,cold_email_q1,91.8,0,0
2025-02-04,Paid Search,gs_competitor,468.31,3595,151
2025-02-04,Paid Social,fb_retarget,222.55,8631,164
2025-02-04,Outbound,cold_email_q2,118.08,0,0
2025-02-05,Paid Search,gs_latam_talent,504.5,3857,162
2025-02-05,Paid Social,fb_founders,288.81,11210,213
2025-02-05,Outbound,cold_email_q1,86.36,0,0
2025-02-06,Paid Search,gs_competitor,519.71,3976,167
2025-02-06,Paid Social,fb_retarget,271.77,10578,201
2025-02-06,Outbound,cold_email_q2,108.02,0,0
2025-02-07,Paid Search,gs_latam_talent,405.22,3095,130
2025-02-07,Paid Social,fb_retarget,314.7,12263,233
2025-02-07,Outbound,cold_email_q1,118.32,0,0
2025-02-08,Paid Search,gs_va_hire,79.69,595,25
2025-02-08,Paid Social,fb_founders,78.63,3052,58
2025-02-08,Outbound,cold_email_q1,17.8,0,0
2025-02-09,Paid Search,gs_va_hire,104.05,785,33
2025-02-09,Paid Social,fb_founders,88.35,3421,65
2025-02-09,Outbound,cold_email_q2,26.04,0,0
2025-02-10,Paid Search,gs_latam_talent,347.49,2666,112
2025-02-10,Paid Social,li_agency_owners,368.22,14315,272
2025-02-10,Outbound,cold_email_q1,83.73,0,0
2025-02-11,Paid Search,gs_latam_talent,296.75,2261,95
2025-02-11,Paid Social,fb_retarget,300.84,11684,222
2025-02-11,Outbound,cold_email_q2,108.39,0,0
2025-02-12,Paid Search,gs_va_hire,396.15,3023,127
2025-02-12,Paid Social,fb_founders,390.96,15210,289
2025-02-12,Outbound,cold_email_q2,66.8,0,0
2025-02-13,Paid Search,gs_latam_talent,448.18,3428,144
2025-02-13,Paid Social,fb_retarget,318.25,12368,235
2025-02-13,Outbound,linkedin_dm,87.38,0,0
2025-02-14,Paid Search,gs_va_hire,385.28,2952,124
2025-02-14,Paid Social,fb_founders,388.24,15105,287
2025-02-14,Outbound,cold_email_q2,108.65,0,0
2025-02-15,Paid Search,gs_latam_talent,132.17,999,42
2025-02-15,Paid Social,fb_retarget,86.08,3315,63
2025-02-15,Outbound,cold_email_q1,21.81,0,0
2025-02-16,Paid Search,gs_va_hire,101.35,761,32
2025-02-16,Paid Social,fb_founders,56.57,2157,41
2025-02-16,Outbound,linkedin_dm,27.85,0,0
2025-02-17,Paid Search,gs_va_hire,442.93,3380,142
2025-02-17,Paid Social,fb_retarget,283.4,11000,209
2025-02-17,Outbound,cold_email_q2,79.72,0,0
2025-02-18,Paid Search,gs_va_hire,426.09,3261,137
2025-02-18,Paid Social,fb_retarget,350.9,13631,259
2025-02-18,Outbound,cold_email_q1,73.77,0,0
2025-02-19,Paid Search,gs_competitor,520.29,3976,167
2025-02-19,Paid Social,fb_retarget,317.37,12368,235
2025-02-19,Outbound,cold_email_q1,78.28,0,0
2025-02-20,Paid Search,gs_competitor,451.48,3452,145
2025-02-20,Paid Social,li_agency_owners,330.22,12842,244
2025-02-20,Outbound,linkedin_dm,78.05,0,0
2025-02-21,Paid Search,gs_competitor,401.43,3071,129
2025-02-21,Paid Social,,383.31,14894,283
2025-02-21,Outbound,cold_email_q2,93.99,0,0
2025-02-22,Paid Search,gs_competitor,73.64,547,23
2025-02-22,Paid Social,fb_retarget,75.23,2894,55
2025-02-22,Outbound,cold_email_q2,24.76,0,0
2025-02-23,Paid Search,gs_competitor,100.52,761,32
2025-02-23,Paid Social,fb_founders,68.39,2631,50
2025-02-23,Outbound,cold_email_q2,30.35,0,0
2025-02-24,Paid Search,gs_va_hire,320.3,2452,103
2025-02-24,Paid Social,li_agency_owners,287.67,11210,213
2025-02-24,Outbound,cold_email_q2,76.93,0,0
2025-02-25,Paid Search,gs_latam_talent,379.04,2904,122
2025-02-25,Paid Social,fb_retarget,399.66,15578,296
2025-02-25,Outbound,cold_email_q1,118.58,0,0
2025-02-26,Paid Search,gs_competitor,372.21,2857,120
2025-02-26,Paid Social,li_agency_owners,248.11,9631,183
2025-02-26,Outbound,cold_email_q2,90.6,0,0
2025-02-27,Paid Search,gs_va_hire,373.19,2857,120
2025-02-27,Paid Social,li_agency_owners,317.14,12315,234
2025-02-27,Outbound,cold_email_q2,118.25,0,0
2025-02-28,Paid Search,gs_competitor,363.26,2785,117
2025-02-28,Paid Social,fb_retarget,302.92,11789,224
2025-02-28,Outbound,cold_email_q1,79.87,0,0
2025-03-01,Paid Search,gs_latam_talent,133.27,999,42
2025-03-01,Paid Social,li_agency_owners,82.56,3210,61
2025-03-01,Outbound,linkedin_dm,21.52,0,0
2025-03-02,Paid Search,gs_competitor,136.33,1023,43
2025-03-02,Paid Social,li_agency_owners,56.73,2210,42
2025-03-02,Outbound,cold_email_q2,21.78,0,0
2025-03-03,Paid Search,gs_va_hire,432.3,3309,139
2025-03-03,Paid Social,fb_founders,391.68,15263,290
2025-03-03,Outbound,cold_email_q2,84.15,0,0
2025-03-04,Paid Search,gs_latam_talent,519.45,3976,167
2025-03-04,Paid Social,li_agency_owners,288.19,11210,213
2025-03-04,Outbound,cold_email_q2,95.33,0,0
2025-03-05,Paid Search,gs_va_hire,314.93,2404,101
2025-03-05,Paid Social,fb_retarget,306.43,11894,226
2025-03-05,Outbound,cold_email_q1,114.73,0,0
2025-03-06,Paid Search,gs_latam_talent,371.77,2833,119
2025-03-06,Paid Social,li_agency_owners,270.9,10526,200
2025-03-06,Outbound,linkedin_dm,107.89,0,0
2025-03-07,Paid Search,gs_va_hire,502.5,3857,162
2025-03-07,Paid Social,fb_founders,299.12,11631,221
2025-03-07,Outbound,cold_email_q1,113.23,0,0
2025-03-08,Paid Search,gs_latam_talent,111.43,833,35
2025-03-08,Paid Social,fb_retarget,88.55,3421,65
2025-03-08,Outbound,cold_email_q1,20.67,0,0
2025-03-09,Paid Search,gs_va_hire,128.77,976,41
2025-03-09,Paid Social,fb_retarget,77.6,3000,57
2025-03-09,Outbound,linkedin_dm,19.45,0,0
2025-03-10,Paid Search,gs_competitor,466.5,3571,150
2025-03-10,Paid Social,fb_founders,223.14,8684,165
2025-03-10,Outbound,cold_email_q1,76.93,0,0
2025-03-11,Paid Search,gs_competitor,321.76,2452,103
2025-03-11,Paid Social,fb_retarget,254.23,9894,188
2025-03-11,Outbound,linkedin_dm,118.48,0,0
2025-03-12,Paid Search,gs_competitor,475.46,3642,153
2025-03-12,Paid Social,fb_founders,334.92,13052,248
2025-03-12,Outbound,cold_email_q1,109.91,0,0
2025-03-13,Paid Search,gs_competitor,394.34,3023,127
2025-03-13,Paid Social,li_agency_owners,360.72,14052,267
2025-03-13,Outbound,cold_email_q1,71.07,0,0
2025-03-14,Paid Search,gs_competitor,332.14,2547,107
2025-03-14,Paid Social,li_agency_owners,221.18,8578,163
2025-03-14,Outbound,cold_email_q1,74.91,0,0
2025-03-15,Paid Search,gs_latam_talent,74.38,547,23
