run_id,pipeline_name,run_date,started_at,status,rows_ingested,duration_seconds,error_message
R000001,ats_submittals,2025-01-01,2025-01-01 04:50:00,success,10484,288,
R000002,ats_vacancies,2025-01-01,2025-01-01 05:36:00,success,16783,249,
R000003,stripe_invoices,2025-01-01,2025-01-01 02:15:00,success,9012,142,
R000004,ga4_sessions,2025-01-01,2025-01-01 03:51:00,success,13202,148,
R000005,ads_spend,2025-01-01,2025-01-01 03:46:00,success,12162,146,
R000006,hubspot_leads,2025-01-01,2025-01-01 04:46:00,success,9247,140,
R000007,ats_submittals,2025-01-02,2025-01-02 04:10:00,success,7799,226,
R000008,ats_vacancies,2025-01-02,2025-01-02 05:52:00,success,11418,158,
R000009,stripe_invoices,2025-01-02,2025-01-02 04:58:00,success,6381,172,
R000010,ga4_sessions,2025-01-02,2025-01-02 03:46:00,success,9900,612,
R000011,ads_spend,2025-01-02,2025-01-02 05:17:00,success,7489,307,
R000012,hubspot_leads,2025-01-02,2025-01-02 05:18:00,success,13460,282,
R000013,ats_submittals,2025-01-03,2025-01-03 02:58:00,success,7601,255,
R000014,ats_vacancies,2025-01-03,2025-01-03 04:55:00,success,12127,257,
R000015,stripe_invoices,2025-01-03,2025-01-03 05:24:00,success,12963,171,
R000016,ga4_sessions,2025-01-03,2025-01-03 04:17:00,success,8676,699,
R000017,ads_spend,2025-01-03,2025-01-03 05:28:00,success,16035,80,
R000018,hubspot_leads,2025-01-03,2025-01-03 03:37:00,success,8281,175,
R000019,ats_submittals,2025-01-04,2025-01-04 03:24:00,success,3922,186,
R000020,ats_vacancies,2025-01-04,2025-01-04 05:23:00,success,2801,379,
R000021,stripe_invoices,2025-01-04,2025-01-04 05:38:00,success,1486,180,
R000022,ga4_sessions,2025-01-04,2025-01-04 05:47:00,success,3000,663,
R000023,ads_spend,2025-01-04,2025-01-04 03:18:00,success,1456,239,
R000024,hubspot_leads,2025-01-04,2025-01-04 02:14:00,success,2387,339,
R000025,ats_submittals,2025-01-05,2025-01-05 05:12:00,success,658,313,
R000026,ats_vacancies,2025-01-05,2025-01-05 02:51:00,success,1923,200,
R000027,stripe_invoices,2025-01-05,2025-01-05 02:12:00,success,2427,203,
R000028,ga4_sessions,2025-01-05,2025-01-05 04:30:00,success,1667,638,
R000029,ads_spend,2025-01-05,2025-01-05 03:47:00,failed,0,307,Source returned 0 rows
R000030,hubspot_leads,2025-01-05,2025-01-05 03:58:00,success,2522,210,
R000031,ats_submittals,2025-01-06,2025-01-06 03:52:00,success,11215,162,
R000032,ats_vacancies,2025-01-06,2025-01-06 04:58:00,success,13382,340,
R000033,stripe_invoices,2025-01-06,2025-01-06 04:18:00,success,7608,190,
