placement_id,vacancy_id,candidate_id,client_id,start_date,monthly_rate_usd,placement_fee_usd,status,end_date
P00001,V00002,K02022,C0002,2025-03-12,1550,2082.0,active,
P00002,V00003,K03113,C0003,2025-03-29,1250,1443.0,active,
P00003,V00007,K02193,C0006,2025-05-22,1900,1950.0,replaced,2025-09-17
P00004,V00008,K04210,C0006,2025-05-19,1350,3057.0,active,
P00005,V00010,K00416,C0006,2025-06-27,1650,2415.0,active,
P00007,V00016,K03510,C0010,2026-02-01,1100,2092.0,active,
P00008,V00018,K03201,C0011,2026-05-30,2050,1461.0,active,
P00009,V00019,K00443,C0012,2025-03-29,2350,1497.0,active,
P00010,V00020,K03432,C0012,2026-05-15,1350,3110.0,active,
P00011,V00022,K03605,C0012,2026-04-01,1950,2876.0,active,
P00012,V00024,K00200,C0013,2026-02-16,850,1503.0,active,
P00013,V00026,K01106,C0013,2026-03-12,1650,2969.0,active,
P00014,V00028,K04160,C0015,2025-10-07,1600,3021.0,active,
P00015,V00029,K02717,C0016,2025-05-12,1100,1930.0,active,
P00016,V00030,K02769,C0016,2026-01-24,1150,2376.0,active,
P00017,V00031,K03148,C0016,2025-08-05,1250,1534.0,active,
P00018,V00033,K01330,C0016,2026-02-05,1500,2379.0,active,
P00019,V00034,K00824,C0017,2026-07-21,900,2570.0,active,
P00020,V00035,K02028,C0017,2026-07-25,1450,1973.0,active,
P00021,V00037,K03081,C0017,2026-06-17,1600,2486.0,active,
P00022,V00042,K03888,C0019,2025-07-23,1900,2614.0,active,
P00023,V00043,K03468,C0020,2026-07-17,850,1987.0,active,
P00024,V00047,K01456,C0021,2026-02-02,700,3015.0,replaced,2026-06-22
P00025,V00048,K02101,C0021,2025-09-23,1450,2059.0,active,
P00026,V00049,K01694,C0022,2025-08-20,2000,2590.0,replaced,2025-10-29
P00027,V00053,K03723,C0023,2025-04-15,1600,1449.0,active,
P00028,V00055,K03996,C0024,2025-06-06,1550,2412.0,active,
P00029,V00060,K02412,C0026,2025-06-16,1600,3140.0,replaced,2025-11-24
P00030,V00062,K01760,C0027,2026-03-28,1050,3142.0,active,
P00031,V00063,K01952,C0028,2025-08-07,1950,2040.0,active,
P00032,V00064,K00077,C0028,2025-05-15,1150,1478.0,active,
P00033,V00065,K02513,C0029,2026-01-10,1100,2953.0,active,
P00034,V00066,K02477,C0030,2026-06-14,1600,3085.0,active,
P00035,V00068,K01744,C0032,2025-12-27,1950,1946.0,active,
P00036,V00071,K01697,C0034,2026-07-29,1450,1920.0,active,
P00037,V00072,K01603,C0035,2026-05-24,1050,1501.0,active,
P00038,V00074,K02788,C0036,2026-04-26,800,2925.0,active,
P00039,V00076,K02067,C0038,2026-02-07,2300,2625.0,active,
P00040,V00080,K00766,C0039,2025-07-19,1450,2621.0,active,
P00041,V00084,K01098,C0040,2026-07-09,800,2397.0,active,
P00042,V00085,K00015,C0040,2025-11-30,0,2004.0,active,
P00043,V00086,K00164,C0041,2025-12-29,1150,2602.0,active,
P00044,V00087,K02239,C0041,2025-10-14,2050,1553.0,active,
P00045,V00088,K01198,C0042,2025-08-05,1750,3148.0,active,
P00046,V00089,K01150,C0043,2025-09-05,0,2982.0,active,
P00047,V00091,K02843,C0044,2025-12-22,1150,1504.0,active,
P00048,V00092,K01171,C0044,2025-06-07,1650,2881.0,active,
P00049,V00093,K02193,C0045,2025-06-05,850,1529.0,active,
P00050,V00094,K02327,C0045,2025-08-30,1900,2585.0,active,
P00051,V00095,K01878,C0046,2026-07-01,2050,2072.0,active,
